td-cD,pwDD,cDe
47.50810162,0.699114238,1000
55.90810183,0.658772074,1000
65.79332247,0.628431039,1000
77.42636827,0.605205897,1000
91.11627561,0.587035581,1000
107.2267222,0.572541601,1000
126.1856883,0.560814314,1000
148.4968262,0.551232565,1000
174.75284,0.543346725,1000
205.6512308,0.536815535,1000
242.0128265,0.531373495,1000
284.8035868,0.526813706,1000
335.1602651,0.522974684,1000
394.4206059,0.519729603,1000
464.1588834,0.516978455,1000
546.2277218,0.514640574,1000
642.8073117,0.51265055,1000
756.4633276,0.510954726,1000
890.2150854,0.509507889,1000
1047.615753,0.508272014,1000
1232.846739,0.507215954,1000
1450.828778,0.506312919,1000
1707.352647,0.505540027,1000
2009.233003,0.50487843,1000
2364.489413,0.504311677,1000
2782.559402,0.503825967,1000
3274.549163,0.503409754,1000
3853.528594,0.503053101,1000
4534.878508,0.502747289,1000
5336.699231,0.502484726,1000
6280.291442,0.502259616,1000
7390.722034,0.502066402,1000
8697.490026,0.501901166,1000
10235.31022,0.50175912,1000
12045.0354,0.501637096,1000
14174.74163,0.501532695,1000
16681.00537,0.501442779,1000
19630.4065,0.501366015,1000
23101.297,0.50130011,1000
27185.88243,0.501243235,1000
31992.67138,0.501194685,1000
37649.35807,0.501153209,1000
44306.21458,0.501117485,1000
52140.08288,0.50108687,1000
61359.07273,0.501060395,1000
72208.09018,0.501037876,1000
84975.34359,0.501018742,1000
100000,0.508196466,1000
0.01,0.011253196,10^8
0.01176812,0.011813503,10^8
0.013848864,0.013898643,10^8
0.016297508,0.016351115,10^8
0.019179103,0.019235368,10^8
0.022570197,0.022627063,10^8
0.026560878,0.026614982,10^8
0.031257158,0.03130326,10^8
0.036783798,0.036813965,10^8
0.043287613,0.043290095,10^8
0.05094138,0.050899037,10^8
0.059948425,0.05983655,10^8
0.070548023,0.070331326,10^8
0.083021757,0.082650198,10^8
0.097700996,0.097104039,10^8
0.1149757,0.114054401,10^8
0.135304777,0.133920906,10^8
0.159228279,0.157189381,10^8
0.187381742,0.184420661,10^8
0.220513074,0.216259937,10^8
0.259502421,0.253446332,10^8
0.305385551,0.29682235,10^8
0.359381366,0.347342492,10^8
0.422924287,0.406080114,10^8
0.497702356,0.474231174,10^8
0.585702082,0.553112975,10^8
0.68926121,0.644155361,10^8
0.811130831,0.748881034,10^8
0.954548457,0.868870571,10^8
1.123324033,1.005706794,10^8
1.321941148,1.16089189,10^8
1.555676144,1.335729686,10^8
1.83073828,1.531165051,10^8
2.15443469,1.747572613,10^8
2.535364494,1.984489204,10^8
2.98364724,2.24028906,10^8
3.511191734,2.511809474,10^8
4.1320124,2.793949096,10^8
4.86260158,3.079281442,10^8
5.722367659,3.3577542,10^8
6.734150658,3.616577504,10^8
7.924828984,3.840436703,10^8
9.326033469,4.012184538,10^8
10.97498765,4.114157631,10^8
12.91549665,4.130196721,10^8
15.19911083,4.048302343,10^8
17.88649529,3.863620559,10^8
21.04904145,3.581146751,10^8
24.77076356,3.217261029,10^8
29.15053063,2.799141437,10^8
34.30469286,2.361448973,10^8
40.37017259,1.940528403,10^8
47.50810162,1.567496673,10^8
55.90810183,1.262418876,10^8
65.79332247,1.031660588,10^8
77.42636827,0.869272735,10^8
91.11627561,0.761500867,10^8
107.2267222,0.692265809,10^8
126.1856883,0.647467949,10^8
148.4968262,0.617025203,10^8
174.75284,0.594858733,10^8
205.6512308,0.577780336,10^8
242.0128265,0.564227201,10^8
284.8035868,0.553362929,10^8
335.1602651,0.544620495,10^8
394.4206059,0.537544771,10^8
464.1588834,0.531763086,10^8
546.2277218,0.526986007,10^8
642.8073117,0.522999631,10^8
756.4633276,0.519649448,10^8
890.2150854,0.516821607,10^8
1047.615753,0.514429619,10^8
1232.846739,0.512403894,10^8
1450.828778,0.510686719,10^8
1707.352647,0.509231211,10^8
2009.233003,0.507996194,10^8
2364.489413,0.506947032,10^8
2782.559402,0.506055626,10^8
3274.549163,0.505297299,10^8
3853.528594,0.504651785,10^8
4534.878508,0.504102256,10^8
5336.699231,0.503633794,10^8
6280.291442,0.503234195,10^8
7390.722034,0.502893709,10^8
8697.490026,0.502603028,10^8
10235.31022,0.502354717,10^8
12045.0354,0.502143164,10^8
14174.74163,0.501961963,10^8
16681.00537,0.501807525,10^8
19630.4065,0.501676081,10^8
23101.297,0.501563178,10^8
27185.88243,0.501466928,10^8
31992.67138,0.501384838,10^8
37649.35807,0.501314427,10^8
44306.21458,0.501254498,10^8
52140.08288,0.501203674,10^8
61359.07273,0.501159657,10^8
72208.09018,0.50112208,10^8
84975.34359,0.501090113,10^8
100000,0.508262587,10^8
0.01,0.01126173,10^15
0.01176812,0.011823228,10^15
0.013848864,0.013911894,10^15
0.016297508,0.016369173,10^15
0.019179103,0.019259981,10^15
0.022570197,0.022660612,10^15
0.026560878,0.026660715,10^15
0.031257158,0.031365606,10^15
0.036783798,0.036898964,10^15
0.043287613,0.043405981,10^15
0.05094138,0.051057037,10^15
0.059948425,0.060051967,10^15
0.070548023,0.07062502,10^15
0.083021757,0.083050593,10^15
0.097700996,0.097649858,10^15
0.1149757,0.114798377,10^15
0.135304777,0.134934822,10^15
0.159228279,0.158570905,10^15
0.187381742,0.1863026,10^15
0.220513074,0.218822738,10^15
0.259502421,0.25693497,10^15
0.305385551,0.301569046,10^15
0.359381366,0.353797234,10^15
0.422924287,0.414851512,10^15
0.497702356,0.48614094,10^15
0.585702082,0.569268256,10^15
0.68926121,0.666044283,10^15
0.811130831,0.778498024,10^15
0.954548457,0.908879549,10^15
1.123324033,1.05965158,10^15
1.321941148,1.233464357,10^15
1.555676144,1.433106533,10^15
1.83073828,1.661422942,10^15
2.15443469,1.921187829,10^15
2.535364494,2.214919849,10^15
2.98364724,2.544623583,10^15
3.511191734,2.91144161,10^15
4.1320124,3.315202985,10^15
4.86260158,3.753860368,10^15
5.722367659,4.222819764,10^15
6.734150658,4.714189123,10^15
7.924828984,5.216006589,10^15
9.326033469,5.711557177,10^15
10.97498765,6.178949691,10^15
12.91549665,6.591194779,10^15
15.19911083,6.917083888,10^15
17.88649529,7.123188955,10^15
21.04904145,7.177232456,10^15
24.77076356,7.052866693,10^15
29.15053063,6.735493026,10^15
34.30469286,6.22815217,10^15
40.37017259,5.555850969,10^15
47.50810162,4.766262797,10^15
55.90810183,3.925029161,10^15
65.79332247,3.105301185,10^15
77.42636827,2.373535514,10^15
91.11627561,1.775895976,10^15
107.2267222,1.330298462,10^15
126.1856883,1.027170228,10^15
148.4968262,0.838083773,10^15
174.75284,0.727906382,10^15
205.6512308,0.665201997,10^15
242.0128265,0.627638822,10^15
284.8035868,0.602338999,10^15
335.1602651,0.583272759,10^15
394.4206059,0.568119703,10^15
464.1588834,0.556009365,10^15
546.2277218,0.546409143,10^15
642.8073117,0.538805386,10^15
756.4633276,0.532713915,10^15
890.2150854,0.527744432,10^15
1047.615753,0.523617812,10^15
1232.846739,0.520148808,10^15
1450.828778,0.517215397,10^15
1707.352647,0.514730123,10^15
2009.233003,0.512626409,10^15
2364.489413,0.510846108,10^15
2782.559402,0.509339859,10^15
3274.549163,0.508066706,10^15
3853.528594,0.506989695,10^15
4534.878508,0.506077244,10^15
5336.699231,0.505303898,10^15
6280.291442,0.504648242,10^15
7390.722034,0.504091361,10^15
8697.490026,0.503617836,10^15
10235.31022,0.503215699,10^15
12045.0354,0.502873786,10^15
14174.74163,0.502582313,10^15
16681.00537,0.502333075,10^15
19630.4065,0.502121724,10^15
23101.297,0.501942049,10^15
27185.88243,0.501788394,10^15
31992.67138,0.50165867,10^15
37649.35807,0.501547278,10^15
44306.21458,0.501451622,10^15
52140.08288,0.501371188,10^15
61359.07273,0.501302274,10^15
72208.09018,0.501242553,10^15
84975.34359,0.501192806,10^15
100000,0.508359331,10^15
0.01,0.011265897,10^30
0.01176812,0.011828,10^30
0.013848864,0.013918452,10^30
0.016297508,0.016378185,10^30
0.019179103,0.019272365,10^30
0.022570197,0.02267763,10^30
0.026560878,0.026684102,10^30
0.031257158,0.031397744,10^30
0.036783798,0.036943126,10^30
0.043287613,0.043466667,10^30
0.05094138,0.051140428,10^30
0.059948425,0.060166554,10^30
0.070548023,0.070782466,10^30
0.083021757,0.083266917,10^30
0.097700996,0.097947056,10^30
0.1149757,0.115206648,10^30
0.135304777,0.135495619,10^30
0.159228279,0.159341109,10^30
0.187381742,0.187360236,10^30
0.220513074,0.220274793,10^30
0.259502421,0.258928072,10^30
0.305385551,0.304304043,10^30
0.359381366,0.357549052,10^30
0.422924287,0.419996182,10^30
0.497702356,0.4931923,10^30
0.585702082,0.578927692,10^30
0.68926121,0.679267913,10^30
0.811130831,0.796587242,10^30
0.954548457,0.933602508,10^30
1.123324033,1.093405462,10^30
1.321941148,1.279490984,10^30
1.555676144,1.495776964,10^30
1.83073828,1.746610075,10^30
2.15443469,2.036749609,10^30
2.535364494,2.371318374,10^30
2.98364724,2.755706489,10^30
3.511191734,3.195409748,10^30
4.1320124,3.695779521,10^30
4.86260158,4.261656916,10^30
5.722367659,4.896859818,10^30
6.734150658,5.603490468,10^30
7.924828984,6.381033852,10^30
9.326033469,7.225229623,10^30
10.97498765,8.126724671,10^30
12.91549665,9.069557198,10^30
15.19911083,10.02959422,10^30
17.88649529,10.97314446,10^30
21.04904145,11.85609939,10^30
24.77076356,12.62410261,10^30
29.15053063,13.21437417,10^30
34.30469286,13.55986263,10^30
40.37017259,13.59626238,10^30
47.50810162,13.27198368,10^30
55.90810183,12.56029539,10^30
65.79332247,11.47156868,10^30
77.42636827,10.0620796,10^30
91.11627561,8.434896199,10^30
107.2267222,6.729047009,10^30
126.1856883,5.096348202,10^30
148.4968262,3.670640542,10^30
174.75284,2.539310856,10^30
205.6512308,1.72816679,10^30
242.0128265,1.205812256,10^30
284.8035868,0.904603779,10^30
335.1602651,0.74769605,10^30
394.4206059,0.670505507,10^30
464.1588834,0.630258812,10^30
546.2277218,0.604635063,10^30
642.8073117,0.584874671,10^30
756.4633276,0.568699149,10^30
890.2150854,0.555771538,10^30
1047.615753,0.545786515,10^30
1232.846739,0.538146763,10^30
1450.828778,0.532190081,10^30
1707.352647,0.527381353,10^30
2009.233003,0.523370938,10^30
2364.489413,0.519963296,10^30
2782.559402,0.517051222,10^30
3274.549163,0.514567989,10^30
3853.528594,0.512459673,10^30
4534.878508,0.510676402,10^30
5336.699231,0.509172352,10^30
6280.291442,0.507905171,10^30
7390.722034,0.506835929,10^30
8697.490026,0.505933859,10^30
10235.31022,0.505173162,10^30
12045.0354,0.504530106,10^30
14174.74163,0.503984155,10^30
16681.00537,0.503521223,10^30
19630.4065,0.503129376,10^30
23101.297,0.502796723,10^30
27185.88243,0.502514189,10^30
31992.67138,0.502272976,10^30
37649.35807,0.502069148,10^30
44306.21458,0.501895497,10^30
52140.08288,0.501747018,10^30
61359.07273,0.501622407,10^30
72208.09018,0.501516136,10^30
84975.34359,0.501424124,10^30
100000,0.508573427,10^30
0.01,0.011267819,10^60
0.01176812,0.011830205,10^60
0.013848864,0.013921495,10^60
0.016297508,0.016382383,10^60
0.019179103,0.019278157,10^60
0.022570197,0.022685621,10^60
0.026560878,0.026695127,10^60
0.031257158,0.031412955,10^60
0.036783798,0.036964113,10^60
0.043287613,0.043495621,10^60
0.05094138,0.051180374,10^60
0.059948425,0.060221664,10^60
0.070548023,0.070858493,10^60
0.083021757,0.083371797,10^60
0.097700996,0.098091734,10^60
0.1149757,0.115406215,10^60
0.135304777,0.135770882,10^60
0.159228279,0.15972075,10^60
0.187381742,0.187883791,10^60
0.220513074,0.220996742,10^60
0.259502421,0.259923472,10^60
0.305385551,0.305676267,10^60
0.359381366,0.35944043,10^60
0.422924287,0.422602592,10^60
0.497702356,0.496783196,10^60
0.585702082,0.583873528,10^60
0.68926121,0.686077677,10^60
0.811130831,0.805959698,10^60
0.954548457,0.946496077,10^60
1.123324033,1.11113333,10^60
1.321941148,1.303850106,10^60
1.555676144,1.529222577,10^60
1.83073828,1.792490973,10^60
2.15443469,2.099623778,10^60
2.535364494,2.457374403,10^60
2.98364724,2.873322476,10^60
3.511191734,3.355888851,10^60
4.1320124,3.914309164,10^60
4.86260158,4.558544949,10^60
5.722367659,5.299104799,10^60
6.734150658,6.14673998,10^60
7.924828984,7.111969903,10^60
9.326033469,8.204382955,10^60
10.97498765,9.431650985,10^60
12.91549665,10.79819187,10^60
15.19911083,12.30341845,10^60
17.88649529,13.93953457,10^60
21.04904145,15.68888317,10^60
24.77076356,17.52093746,10^60
29.15053063,19.38915951,10^60
34.30469286,21.22815012,10^60
40.37017259,22.95177477,10^60
47.50810162,24.4532489,10^60
55.90810183,25.60844191,10^60
65.79332247,26.28378245,10^60
77.42636827,26.34992523,10^60
91.11627561,25.70149835,10^60
107.2267222,24.28156319,10^60
126.1856883,22.10679845,10^60
148.4968262,19.28634873,10^60
174.75284,16.02510425,10^60
205.6512308,12.60314941,10^60
242.0128265,9.329348876,10^60
284.8035868,6.478122516,10^60
335.1602651,4.22962938,10^60
394.4206059,2.636910448,10^60
464.1588834,1.633824402,10^60
546.2277218,1.078474404,10^60
642.8073117,0.810152886,10^60
756.4633276,0.694789154,10^60
890.2150854,0.645017863,10^60
1047.615753,0.616826692,10^60
1232.846739,0.594476682,10^60
1450.828778,0.575232005,10^60
1707.352647,0.559743294,10^60
2009.233003,0.548204254,10^60
2364.489413,0.539878247,10^60
2782.559402,0.533718347,10^60
3274.549163,0.528858853,10^60
3853.528594,0.524783071,10^60
4534.878508,0.521249748,10^60
5336.699231,0.518163768,10^60
6280.291442,0.515493858,10^60
7390.722034,0.5132121,10^60
8697.490026,0.511279046,10^60
10235.31022,0.509650007,10^60
12045.0354,0.508284851,10^60
14174.74163,0.507142744,10^60
16681.00537,0.506179448,10^60
19630.4065,0.505370778,10^60
23101.297,0.504690632,10^60
27185.88243,0.504115505,10^60
31992.67138,0.50362959,10^60
37649.35807,0.503217558,10^60
44306.21458,0.502869831,10^60
52140.08288,0.502572981,10^60
61359.07273,0.502321956,10^60
72208.09018,0.502110179,10^60
84975.34359,0.501927293,10^60
100000,0.509040931,10^60
0.01,0.011268778,10^125
0.01176812,0.011831308,10^125
0.013848864,0.013923019,10^125
0.016297508,0.016384491,10^125
0.019179103,0.01928107,10^125
0.022570197,0.022689648,10^125
0.026560878,0.026700694,10^125
0.031257158,0.031420651,10^125
0.036783798,0.036974752,10^125
0.043287613,0.043510328,10^125
0.05094138,0.051200703,10^125
0.059948425,0.060249765,10^125
0.070548023,0.070897337,10^125
0.083021757,0.083425489,10^125
0.097700996,0.098165948,10^125
0.1149757,0.115508793,10^125
0.135304777,0.13591266,10^125
0.159228279,0.159916701,10^125
0.187381742,0.188154602,10^125
0.220513074,0.221370991,10^125
0.259502421,0.260440636,10^125
0.305385551,0.306390869,10^125
0.359381366,0.360427763,10^125
0.422924287,0.4239666,10^125
0.497702356,0.498667356,10^125
0.585702082,0.586475832,10^125
0.68926121,0.689671231,10^125
0.811130831,0.810921104,10^125
0.954548457,0.953344414,10^125
1.123324033,1.120583646,10^125
1.321941148,1.316886799,10^125
1.555676144,1.547199882,10^125
1.83073828,1.817270239,10^125
2.15443469,2.133760763,10^125
2.535364494,2.504374024,10^125
2.98364724,2.937984492,10^125
3.511191734,3.444775171,10^125
4.1320124,4.036372856,10^125
4.86260158,4.725972899,10^125
5.722367659,5.528439669,10^125
6.734150658,6.46036323,10^125
7.924828984,7.540044606,10^125
9.326033469,8.787371453,10^125
10.97498765,10.22353338,10^125
12.91549665,11.87051056,10^125
15.19911083,13.75024985,10^125
17.88649529,15.88342465,10^125
21.04904145,18.2876558,10^125
24.77076356,20.97505707,10^125
29.15053063,23.94897061,10^125
34.30469286,27.19978566,10^125
40.37017259,30.69980159,10^125
47.50810162,34.39723879,10^125
55.90810183,38.20973302,10^125
65.79332247,42.01800963,10^125
77.42636827,45.66092712,10^125
91.11627561,48.93369023,10^125
107.2267222,51.59165693,10^125
126.1856883,53.36260619,10^125
148.4968262,53.97022515,10^125
174.75284,53.17042552,10^125
205.6512308,50.79932525,10^125
242.0128265,46.82695109,10^125
284.8035868,41.40435516,10^125
335.1602651,34.88592293,10^125
394.4206059,27.80733433,10^125
464.1588834,20.80801469,10^125
546.2277218,14.50716952,10^125
642.8073117,9.368188128,10^125
756.4633276,5.602008471,10^125
890.2150854,3.150445314,10^125
1047.615753,1.754763755,10^125
1232.846739,1.073416406,10^125
1450.828778,0.793379969,10^125
1707.352647,0.693692169,10^125
2009.233003,0.653570836,10^125
2364.489413,0.625182996,10^125
2782.559402,0.598453695,10^125
3274.549163,0.575471775,10^125
3853.528594,0.558437158,10^125
4534.878508,0.547026045,10^125
5336.699231,0.539492352,10^125
6280.291442,0.534071032,10^125
7390.722034,0.529626905,10^125
8697.490026,0.525662359,10^125
10235.31022,0.522055332,10^125
12045.0354,0.518819866,10^125
14174.74163,0.515985499,10^125
16681.00537,0.51356027,10^125
19630.4065,0.511527087,10^125
23101.297,0.50982306,10^125
27185.88243,0.508399921,10^125
31992.67138,0.507222284,10^125
37649.35807,0.506238885,10^125
44306.21458,0.50541009,10^125
52140.08288,0.504712559,10^125
